id,customer_id,telegram_id,name,type,company,wallet_number,amount,exchange_address,status,date,admin_note,processed_by,currency
DEP20250821174254,C000002,6004754785,Yasoo,deposit,STC Pay__85565225525,,100.0,,approved,2025-08-21 17:42,,6986450780
DEP20250821174340,C000002,6004754785,Yasoo,deposit,فودافون كاش__845888,,500.0,,approved,2025-08-21 17:43,,6986450780
WTH20250821174602,C000002,6004754785,Yasoo,withdraw,البنك الأهلي,,5845665555,,rejected,2025-08-21 17:46,غير محدد,6986450780
DEP20250821183202,C000002,6004754785,Yasoo,deposit,STC Pay__454545944545,,50.0,,approved,2025-08-21 18:32,,6986450780
DEP20250821184707,C000002,6004754785,Yasoo,deposit,STC Pay__0156867466556465,,50.0,,approved,2025-08-21 18:47,,6986450780
WTH20250821184827,C000002,6004754785,Yasoo,withdraw,STC Pay,,01268676768,,approved,2025-08-21 18:48,Vjcfkkgd,6986450780
WTH20250821192713,C000002,6004754785,Yasoo,withdraw,MELBET,,100.0,شارع الملك فهد، الرياض، مقابل مول الرياض,approved,2025-08-21 19:27,قتبتةببو,6986450780
WTH20250821193626,C000002,6004754785,Yasoo,withdraw,MELBET,,1000.0,شارع الملك فهد، الرياض، مقابل مول الرياض,rejected,2025-08-21 19:36,باليليسليللبي,6986450780
DEP20250821203646,C000002,6004754785,Yasoo,deposit,MELBET,,55.0,,approved,2025-08-21 20:36,,6986450780
WTH20250821222206,C814347,6659883827,الانال,withdraw,MELBET,,1000.0,شارع الملك فهد، الرياض، مقابل مول الرياض,approved,2025-08-21 22:22,54844859,6986450780
WTH20250821231706,C000002,6004754785,Yasoo,withdraw,MELBET,,1000.0,سحبAlexandria - Sawris 1XBET  سحب MELBET  Alexandria  Sawirisi,approved,2025-08-21 23:17,Hfddjj,6986450780
DEP20250821233718,C810563,6857218316,محمد,deposit,MELBET,,50.0,,rejected,2025-08-21 23:37,ايالبيباشيلسؤفرشصثفشصثفشصثفق,6986450780
WTH20250821234140,C810563,6857218316,محمد,withdraw,MELBET,,1000.0,سحبAlexandria - Sawris 1XBET  سحب MELBET  Alexandria  Sawirisi,approved,2025-08-21 23:41,Frgju,6986450780
DEP20250822000233,C000002,6004754785,Yasoo,deposit,MELBET,,555.0,,approved,2025-08-22 00:02,,6986450780
WTH20250822012412,C824717,7146701713,Mohand,withdraw,MOSTBET,,300.0,سحبAlexandria - Sawris 1XBET  سحب MELBET  Alexandria  Sawirisi,approved,2025-08-22 01:24,Dhrjtjfn,6986450780
